Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Tractogram Filtering of Anatomically Non-plausible Fibers with Geometric Deep Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_29","Pietro AstolfiRuben VerhagenLaurent PetitEmanuele OlivettiJonathan MasciDavide BoscainiPaolo Avesani","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_29","Chapter"
"Histopathological Stain Transfer Using Style Transfer Network with Adversarial Loss","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_32","Harshal NisharNikhil ChavankeNitin Singhal","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_32","Chapter"
"Self-supervised Nuclei Segmentation in Histopathological Images Using Attention","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_38","Mihir SahasrabudheStergios ChristodoulidisRoberto SalgadoStefan MichielsSherene LoiFabrice AndréNikos ParagiosMaria Vakalopoulou","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_38","Chapter"
"Comparing to Learn: Surpassing ImageNet Pretraining on Radiographs by Comparing Image Representations","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59710-8_39","Hong-Yu ZhouShuang YuCheng BianYifan HuKai MaYefeng Zheng","2020","http://link.springer.com/chapter/10.1007/978-3-030-59710-8_39","Chapter"
"Channel Embedding for Informative Protein Identification from Highly Multiplexed Images","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_1","Salma Abdel MagidWon-Dong JangDenis SchapiroDonglai WeiJames TompkinPeter K. SorgerHanspeter Pfister","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_1","Chapter"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59722-1","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59722-1","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59719-1","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59719-1","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59725-2","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59725-2","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59728-3","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59728-3","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59710-8","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59710-8","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59716-0","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59716-0","Book"
"Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","Lecture Notes in Computer Science","","","","10.1007/978-3-030-59713-9","Prof. Anne L. MartelPurang AbolmaesumiDanail StoyanovDiana MateusMaria A. ZuluagaS. Kevin ZhouDaniel RacoceanuProf. Leo Joskowicz","2020","http://link.springer.com/book/10.1007/978-3-030-59713-9","Book"
"Learning Differential Diagnosis of Skin Conditions with Co-occurrence Supervision Using Graph Convolutional Networks","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_33","Junyan WuHao JiangXiaowei DingAnudeep KondaJin HanYang ZhangQian Li","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_33","Chapter"
"Exploring Ensemble Applications for Multi-sequence Myocardial Pathology Segmentation","Myocardial Pathology Segmentation Combining Multi-Sequence Cardiac Magnetic Resonance Images","","","","10.1007/978-3-030-65651-5_6","Markus J. AnkenbrandDavid LohrLaura M. Schreiber","2020","http://link.springer.com/chapter/10.1007/978-3-030-65651-5_6","Chapter"
"Segmenting Continuous but Sparsely-Labeled Structures in Super-Resolution Microscopy Using Perceptual Grouping","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_14","Jiabing LiCamille ArturJason EriksenBadrinath RoysamDavid Mayerich","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_14","Chapter"
"White Matter Tract Segmentation with Self-supervised Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59728-3_27","Qi LuYuxing LiChuyang Ye","2020","http://link.springer.com/chapter/10.1007/978-3-030-59728-3_27","Chapter"
"Correction to: The Case of Missed Cancers: Applying AI as a Radiologist’s Safety Net","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_79","Michal ChorevYoel ShoshanAyelet Akselrod-BallinAdam SpiroShaked NaorAlon HazanVesna BarrosIuliana WeinsteinEsma HerzelVarda ShalevMichal GuindyMichal Rosen-Zvi","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_79","Chapter"
"TexNet: Texture Loss Based Network for Gastric Antrum Segmentation in Ultrasound","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59719-1_14","Guohao DongYaoxian ZouJiaming JiaoYuxi LiuShuo LiuTianzhu LiangChaoyue LiuZhijie ChenLei ZhuDong NiMuqing Lin","2020","http://link.springer.com/chapter/10.1007/978-3-030-59719-1_14","Chapter"
"Anterior Segment Eye Lesion Segmentation with Advanced Fusion Strategies and Auxiliary Tasks","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_63","Ke WangXiaohong LiuKang ZhangTing ChenGuangyu Wang","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_63","Chapter"
"Fast Correction of Eddy-Current and Susceptibility-Induced Distortions Using Rotation-Invariant Contrasts","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_4","Sahar AhmadYe WuKhoi Minh HuynhKim-Han ThungWeili LinDinggang ShenPew-Thian Yap","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_4","Chapter"
"Multi-site Evaluation of a Study-Level Classifier for Mammography Using Deep Learning","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_21","Dustin SargentSun Young ParkAmod JogAly MohamedDavid Richmond","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_21","Chapter"
"Bio-inspired Attentive Segmentation of Retinal OCT Imaging","Ophthalmic Medical Image Analysis","","","","10.1007/978-3-030-63419-3_1","Georgios LazaridisMoucheng XuSaman Sadeghi AfgehGiovanni MontesanoDavid Garway-Heath","2020","http://link.springer.com/chapter/10.1007/978-3-030-63419-3_1","Chapter"
"Macular Hole and Cystoid Macular Edema Joint Segmentation by Two-Stage Network and Entropy Minimization","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59722-1_71","Lei YeWeifang ZhuDengsen BaoShuanglang FengXinjian Chen","2020","http://link.springer.com/chapter/10.1007/978-3-030-59722-1_71","Chapter"
"Acceleration of High-Resolution 3D MR Fingerprinting via a Graph Convolutional Network","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59713-9_16","Feng ChengYong ChenXiaopeng ZongWeili LinDinggang ShenPew-Thian Yap","2020","http://link.springer.com/chapter/10.1007/978-3-030-59713-9_16","Chapter"
"Nodule2vec: A 3D Deep Learning System for Pulmonary Nodule Retrieval Using Semantic Representation","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_58","Ilia KravetsTal HeletzHayit Greenspan","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_58","Chapter"
"Automatic Segmentation, Localization, and Identification of Vertebrae in 3D CT Images Using Cascaded Convolutional Neural Networks","Medical Image Computing and Computer Assisted Intervention – MICCAI 2020","","","","10.1007/978-3-030-59725-2_66","Naoto MasuzawaYoshiro KitamuraKeigo NakamuraSatoshi IizukaEdgar Simo-Serra","2020","http://link.springer.com/chapter/10.1007/978-3-030-59725-2_66","Chapter"
